group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Build Voronoi Cells,voronoi,2000000,,,10760122337.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10770369743.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10765649580.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10784479720.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10834898581.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10740584249.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10771126476.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10784758992.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10787844646.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10762767677.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10762814107.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10778570678.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10744583748.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10807725880.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10778351990.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10755201637.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10761654101.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10813741651.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10750597875.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10738552555.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10741766442.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10779995257.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10797946166.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10735951834.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10779754736.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10761067446.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10738328282.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10753520279.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10755433381.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10767170879.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10763941046.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10779460783.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10756893836.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10759835862.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10769557666.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10824969976.0,ns,1
Build Voronoi Cells,voronoi,2000000,,,10763187301.0,ns,1
