group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Build Voronoi Cells,voronator,500000,,,1135604226.0,ns,1
Build Voronoi Cells,voronator,500000,,,1131038209.0,ns,1
Build Voronoi Cells,voronator,500000,,,1134584718.0,ns,1
Build Voronoi Cells,voronator,500000,,,1134487007.0,ns,1
Build Voronoi Cells,voronator,500000,,,1134001230.0,ns,1
Build Voronoi Cells,voronator,500000,,,1137219114.0,ns,1
Build Voronoi Cells,voronator,500000,,,1144515296.0,ns,1
Build Voronoi Cells,voronator,500000,,,1138033535.0,ns,1
Build Voronoi Cells,voronator,500000,,,1134814743.0,ns,1
Build Voronoi Cells,voronator,500000,,,1134552926.0,ns,1
Build Voronoi Cells,voronator,500000,,,1134781587.0,ns,1
Build Voronoi Cells,voronator,500000,,,1136699537.0,ns,1
Build Voronoi Cells,voronator,500000,,,1135005341.0,ns,1
Build Voronoi Cells,voronator,500000,,,1135201390.0,ns,1
Build Voronoi Cells,voronator,500000,,,1132425443.0,ns,1
Build Voronoi Cells,voronator,500000,,,1145615860.0,ns,1
Build Voronoi Cells,voronator,500000,,,1136676668.0,ns,1
Build Voronoi Cells,voronator,500000,,,1133210901.0,ns,1
Build Voronoi Cells,voronator,500000,,,1136482870.0,ns,1
Build Voronoi Cells,voronator,500000,,,1134129888.0,ns,1
Build Voronoi Cells,voronator,500000,,,1133404178.0,ns,1
Build Voronoi Cells,voronator,500000,,,1144329347.0,ns,1
Build Voronoi Cells,voronator,500000,,,1141557401.0,ns,1
Build Voronoi Cells,voronator,500000,,,1137939816.0,ns,1
Build Voronoi Cells,voronator,500000,,,1140826820.0,ns,1
Build Voronoi Cells,voronator,500000,,,1136007925.0,ns,1
Build Voronoi Cells,voronator,500000,,,1134299701.0,ns,1
Build Voronoi Cells,voronator,500000,,,1137262134.0,ns,1
Build Voronoi Cells,voronator,500000,,,1136252739.0,ns,1
Build Voronoi Cells,voronator,500000,,,1141244584.0,ns,1
Build Voronoi Cells,voronator,500000,,,1223552902.0,ns,1
Build Voronoi Cells,voronator,500000,,,1149205264.0,ns,1
Build Voronoi Cells,voronator,500000,,,1208754428.0,ns,1
Build Voronoi Cells,voronator,500000,,,1178807449.0,ns,1
Build Voronoi Cells,voronator,500000,,,1187202261.0,ns,1
Build Voronoi Cells,voronator,500000,,,1190714467.0,ns,1
Build Voronoi Cells,voronator,500000,,,1185664375.0,ns,1
Build Voronoi Cells,voronator,500000,,,1194396773.0,ns,1
Build Voronoi Cells,voronator,500000,,,1225151353.0,ns,1
Build Voronoi Cells,voronator,500000,,,1170607704.0,ns,1
Build Voronoi Cells,voronator,500000,,,1157279188.0,ns,1
Build Voronoi Cells,voronator,500000,,,1162863986.0,ns,1
Build Voronoi Cells,voronator,500000,,,1139100942.0,ns,1
Build Voronoi Cells,voronator,500000,,,1135796814.0,ns,1
Build Voronoi Cells,voronator,500000,,,1135274979.0,ns,1
Build Voronoi Cells,voronator,500000,,,1139717752.0,ns,1
Build Voronoi Cells,voronator,500000,,,1134033539.0,ns,1
Build Voronoi Cells,voronator,500000,,,1136405309.0,ns,1
Build Voronoi Cells,voronator,500000,,,1138313642.0,ns,1
Build Voronoi Cells,voronator,500000,,,1145201679.0,ns,1
Build Voronoi Cells,voronator,500000,,,1138546199.0,ns,1
Build Voronoi Cells,voronator,500000,,,1134325819.0,ns,1
Build Voronoi Cells,voronator,500000,,,1139350960.0,ns,1
Build Voronoi Cells,voronator,500000,,,1183663372.0,ns,1
Build Voronoi Cells,voronator,500000,,,1138694728.0,ns,1
Build Voronoi Cells,voronator,500000,,,1232394891.0,ns,1
Build Voronoi Cells,voronator,500000,,,1161177908.0,ns,1
Build Voronoi Cells,voronator,500000,,,1150722617.0,ns,1
Build Voronoi Cells,voronator,500000,,,1190521142.0,ns,1
Build Voronoi Cells,voronator,500000,,,1156200280.0,ns,1
Build Voronoi Cells,voronator,500000,,,1147172178.0,ns,1
Build Voronoi Cells,voronator,500000,,,1162943242.0,ns,1
Build Voronoi Cells,voronator,500000,,,1150754858.0,ns,1
Build Voronoi Cells,voronator,500000,,,1218535503.0,ns,1
Build Voronoi Cells,voronator,500000,,,1187725096.0,ns,1
Build Voronoi Cells,voronator,500000,,,1163103739.0,ns,1
Build Voronoi Cells,voronator,500000,,,1159204814.0,ns,1
Build Voronoi Cells,voronator,500000,,,1158214691.0,ns,1
Build Voronoi Cells,voronator,500000,,,1209596995.0,ns,1
Build Voronoi Cells,voronator,500000,,,1152812790.0,ns,1
Build Voronoi Cells,voronator,500000,,,1215629994.0,ns,1
Build Voronoi Cells,voronator,500000,,,1185685291.0,ns,1
Build Voronoi Cells,voronator,500000,,,1224478691.0,ns,1
Build Voronoi Cells,voronator,500000,,,1181839527.0,ns,1
Build Voronoi Cells,voronator,500000,,,1159223198.0,ns,1
Build Voronoi Cells,voronator,500000,,,1151523492.0,ns,1
Build Voronoi Cells,voronator,500000,,,1148058520.0,ns,1
Build Voronoi Cells,voronator,500000,,,1190965015.0,ns,1
Build Voronoi Cells,voronator,500000,,,1192726990.0,ns,1
Build Voronoi Cells,voronator,500000,,,1215516885.0,ns,1
Build Voronoi Cells,voronator,500000,,,1184030470.0,ns,1
Build Voronoi Cells,voronator,500000,,,1213932854.0,ns,1
Build Voronoi Cells,voronator,500000,,,1208363203.0,ns,1
Build Voronoi Cells,voronator,500000,,,1169072077.0,ns,1
Build Voronoi Cells,voronator,500000,,,1163999959.0,ns,1
Build Voronoi Cells,voronator,500000,,,1198651970.0,ns,1
Build Voronoi Cells,voronator,500000,,,1169781982.0,ns,1
Build Voronoi Cells,voronator,500000,,,1192348448.0,ns,1
Build Voronoi Cells,voronator,500000,,,1181740624.0,ns,1
Build Voronoi Cells,voronator,500000,,,1240732029.0,ns,1
Build Voronoi Cells,voronator,500000,,,1174867531.0,ns,1
Build Voronoi Cells,voronator,500000,,,1142319279.0,ns,1
Build Voronoi Cells,voronator,500000,,,1176840419.0,ns,1
Build Voronoi Cells,voronator,500000,,,1145665105.0,ns,1
Build Voronoi Cells,voronator,500000,,,1140252228.0,ns,1
Build Voronoi Cells,voronator,500000,,,1137807571.0,ns,1
Build Voronoi Cells,voronator,500000,,,1144582493.0,ns,1
Build Voronoi Cells,voronator,500000,,,1143468532.0,ns,1
Build Voronoi Cells,voronator,500000,,,1143887338.0,ns,1
Build Voronoi Cells,voronator,500000,,,1161081872.0,ns,1
