group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Build Voronoi Cells,voronoi,500000,,,2082200966.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2064820308.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2080563651.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2066678418.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2086791633.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2073508728.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2067439343.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2092573137.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2064412775.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2092380533.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2078623317.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2070152678.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2108092473.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2073223696.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2073375047.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2074287561.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2078122736.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2125762205.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2081120801.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2074350831.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2092079928.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2071908809.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2119565402.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2094756082.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2072045334.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2098155627.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2074690980.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2087793513.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2081990114.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2066530549.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2066617490.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2077316893.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2092124033.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2075722519.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2062045797.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2122009602.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2065207334.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2068100468.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2095604416.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2082876161.0,ns,1
