group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Build Voronoi Cells,voronoi,100,,,1048110.0,ns,6
Build Voronoi Cells,voronoi,100,,,2019760.0,ns,12
Build Voronoi Cells,voronoi,100,,,3015789.0,ns,18
Build Voronoi Cells,voronoi,100,,,4047457.0,ns,24
Build Voronoi Cells,voronoi,100,,,5034602.0,ns,30
Build Voronoi Cells,voronoi,100,,,6067050.0,ns,36
Build Voronoi Cells,voronoi,100,,,7066669.0,ns,42
Build Voronoi Cells,voronoi,100,,,8067720.0,ns,48
Build Voronoi Cells,voronoi,100,,,9106355.0,ns,54
Build Voronoi Cells,voronoi,100,,,10115670.0,ns,60
Build Voronoi Cells,voronoi,100,,,11092969.0,ns,66
Build Voronoi Cells,voronoi,100,,,12152238.0,ns,72
Build Voronoi Cells,voronoi,100,,,13106389.0,ns,78
Build Voronoi Cells,voronoi,100,,,14197604.0,ns,84
Build Voronoi Cells,voronoi,100,,,15142972.0,ns,90
Build Voronoi Cells,voronoi,100,,,16147924.0,ns,96
Build Voronoi Cells,voronoi,100,,,17201146.0,ns,102
Build Voronoi Cells,voronoi,100,,,18173477.0,ns,108
Build Voronoi Cells,voronoi,100,,,19139585.0,ns,114
Build Voronoi Cells,voronoi,100,,,20178459.0,ns,120
Build Voronoi Cells,voronoi,100,,,21194190.0,ns,126
Build Voronoi Cells,voronoi,100,,,22203265.0,ns,132
Build Voronoi Cells,voronoi,100,,,23196609.0,ns,138
Build Voronoi Cells,voronoi,100,,,24176340.0,ns,144
Build Voronoi Cells,voronoi,100,,,25178002.0,ns,150
Build Voronoi Cells,voronoi,100,,,26228482.0,ns,156
Build Voronoi Cells,voronoi,100,,,27207126.0,ns,162
Build Voronoi Cells,voronoi,100,,,28181603.0,ns,168
Build Voronoi Cells,voronoi,100,,,29212318.0,ns,174
Build Voronoi Cells,voronoi,100,,,30187706.0,ns,180
Build Voronoi Cells,voronoi,100,,,31217532.0,ns,186
Build Voronoi Cells,voronoi,100,,,32312775.0,ns,192
Build Voronoi Cells,voronoi,100,,,33215467.0,ns,198
Build Voronoi Cells,voronoi,100,,,34338232.0,ns,204
Build Voronoi Cells,voronoi,100,,,35181550.0,ns,210
Build Voronoi Cells,voronoi,100,,,36215334.0,ns,216
Build Voronoi Cells,voronoi,100,,,37259076.0,ns,222
Build Voronoi Cells,voronoi,100,,,38304187.0,ns,228
Build Voronoi Cells,voronoi,100,,,39173117.0,ns,234
Build Voronoi Cells,voronoi,100,,,40270933.0,ns,240
Build Voronoi Cells,voronoi,100,,,46302755.0,ns,246
Build Voronoi Cells,voronoi,100,,,42267238.0,ns,252
Build Voronoi Cells,voronoi,100,,,43309431.0,ns,258
