group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Build Voronoi Cells,voronoice,100,,,1030832.0,ns,13
Build Voronoi Cells,voronoice,100,,,3823330.0,ns,26
Build Voronoi Cells,voronoice,100,,,2828782.0,ns,39
Build Voronoi Cells,voronoice,100,,,3876460.0,ns,52
Build Voronoi Cells,voronoice,100,,,4780565.0,ns,65
Build Voronoi Cells,voronoice,100,,,5788497.0,ns,78
Build Voronoi Cells,voronoice,100,,,6725990.0,ns,91
Build Voronoi Cells,voronoice,100,,,7759458.0,ns,104
Build Voronoi Cells,voronoice,100,,,8703889.0,ns,117
Build Voronoi Cells,voronoice,100,,,9646143.0,ns,130
Build Voronoi Cells,voronoice,100,,,10628050.0,ns,143
Build Voronoi Cells,voronoice,100,,,11642410.0,ns,156
Build Voronoi Cells,voronoice,100,,,12531407.0,ns,169
Build Voronoi Cells,voronoice,100,,,13487778.0,ns,182
Build Voronoi Cells,voronoice,100,,,14492565.0,ns,195
Build Voronoi Cells,voronoice,100,,,15504689.0,ns,208
Build Voronoi Cells,voronoice,100,,,16371775.0,ns,221
Build Voronoi Cells,voronoice,100,,,17401053.0,ns,234
Build Voronoi Cells,voronoice,100,,,18380303.0,ns,247
Build Voronoi Cells,voronoice,100,,,19262302.0,ns,260
Build Voronoi Cells,voronoice,100,,,20294713.0,ns,273
Build Voronoi Cells,voronoice,100,,,21300239.0,ns,286
Build Voronoi Cells,voronoice,100,,,22183193.0,ns,299
Build Voronoi Cells,voronoice,100,,,23141836.0,ns,312
Build Voronoi Cells,voronoice,100,,,24227690.0,ns,325
Build Voronoi Cells,voronoice,100,,,24959278.0,ns,338
Build Voronoi Cells,voronoice,100,,,25915629.0,ns,351
Build Voronoi Cells,voronoice,100,,,26940224.0,ns,364
Build Voronoi Cells,voronoice,100,,,27856762.0,ns,377
Build Voronoi Cells,voronoice,100,,,28864341.0,ns,390
Build Voronoi Cells,voronoice,100,,,29797250.0,ns,403
Build Voronoi Cells,voronoice,100,,,30764168.0,ns,416
Build Voronoi Cells,voronoice,100,,,31627479.0,ns,429
Build Voronoi Cells,voronoice,100,,,32610425.0,ns,442
Build Voronoi Cells,voronoice,100,,,33656517.0,ns,455
Build Voronoi Cells,voronoice,100,,,34885088.0,ns,468
Build Voronoi Cells,voronoice,100,,,35625781.0,ns,481
Build Voronoi Cells,voronoice,100,,,37289079.0,ns,494
Build Voronoi Cells,voronoice,100,,,37575052.0,ns,507
Build Voronoi Cells,voronoice,100,,,38577979.0,ns,520
Build Voronoi Cells,voronoice,100,,,39508399.0,ns,533
Build Voronoi Cells,voronoice,100,,,40638658.0,ns,546
Build Voronoi Cells,voronoice,100,,,42900720.0,ns,559
Build Voronoi Cells,voronoice,100,,,42462853.0,ns,572
Build Voronoi Cells,voronoice,100,,,43377569.0,ns,585
Build Voronoi Cells,voronoice,100,,,44304030.0,ns,598
Build Voronoi Cells,voronoice,100,,,46068565.0,ns,611
Build Voronoi Cells,voronoice,100,,,46268152.0,ns,624
Build Voronoi Cells,voronoice,100,,,47308865.0,ns,637
Build Voronoi Cells,voronoice,100,,,48136805.0,ns,650
Build Voronoi Cells,voronoice,100,,,49079641.0,ns,663
Build Voronoi Cells,voronoice,100,,,50204423.0,ns,676
Build Voronoi Cells,voronoice,100,,,51164459.0,ns,689
Build Voronoi Cells,voronoice,100,,,52088976.0,ns,702
Build Voronoi Cells,voronoice,100,,,52871773.0,ns,715
Build Voronoi Cells,voronoice,100,,,53812668.0,ns,728
Build Voronoi Cells,voronoice,100,,,55079421.0,ns,741
Build Voronoi Cells,voronoice,100,,,55748275.0,ns,754
Build Voronoi Cells,voronoice,100,,,56755134.0,ns,767
Build Voronoi Cells,voronoice,100,,,57749210.0,ns,780
Build Voronoi Cells,voronoice,100,,,59148755.0,ns,793
Build Voronoi Cells,voronoice,100,,,61992393.0,ns,806
Build Voronoi Cells,voronoice,100,,,60311396.0,ns,819
Build Voronoi Cells,voronoice,100,,,61215786.0,ns,832
Build Voronoi Cells,voronoice,100,,,62575907.0,ns,845
Build Voronoi Cells,voronoice,100,,,63355647.0,ns,858
Build Voronoi Cells,voronoice,100,,,64328723.0,ns,871
Build Voronoi Cells,voronoice,100,,,65280172.0,ns,884
Build Voronoi Cells,voronoice,100,,,68335226.0,ns,897
Build Voronoi Cells,voronoice,100,,,66923082.0,ns,910
Build Voronoi Cells,voronoice,100,,,67896798.0,ns,923
Build Voronoi Cells,voronoice,100,,,70999219.0,ns,936
Build Voronoi Cells,voronoice,100,,,69730009.0,ns,949
Build Voronoi Cells,voronoice,100,,,70702407.0,ns,962
Build Voronoi Cells,voronoice,100,,,73589058.0,ns,975
Build Voronoi Cells,voronoice,100,,,77235304.0,ns,988
Build Voronoi Cells,voronoice,100,,,73636194.0,ns,1001
Build Voronoi Cells,voronoice,100,,,75509996.0,ns,1014
Build Voronoi Cells,voronoice,100,,,77796031.0,ns,1027
Build Voronoi Cells,voronoice,100,,,76487530.0,ns,1040
Build Voronoi Cells,voronoice,100,,,77414128.0,ns,1053
Build Voronoi Cells,voronoice,100,,,80711033.0,ns,1066
Build Voronoi Cells,voronoice,100,,,79982614.0,ns,1079
Build Voronoi Cells,voronoice,100,,,80384828.0,ns,1092
Build Voronoi Cells,voronoice,100,,,83480110.0,ns,1105
Build Voronoi Cells,voronoice,100,,,82235225.0,ns,1118
Build Voronoi Cells,voronoice,100,,,87238720.0,ns,1131
Build Voronoi Cells,voronoice,100,,,89421013.0,ns,1144
Build Voronoi Cells,voronoice,100,,,95319997.0,ns,1157
Build Voronoi Cells,voronoice,100,,,88479046.0,ns,1170
Build Voronoi Cells,voronoice,100,,,87190948.0,ns,1183
Build Voronoi Cells,voronoice,100,,,87940747.0,ns,1196
Build Voronoi Cells,voronoice,100,,,90132777.0,ns,1209
Build Voronoi Cells,voronoice,100,,,89862436.0,ns,1222
Build Voronoi Cells,voronoice,100,,,91362043.0,ns,1235
Build Voronoi Cells,voronoice,100,,,91790480.0,ns,1248
Build Voronoi Cells,voronoice,100,,,92785617.0,ns,1261
Build Voronoi Cells,voronoice,100,,,94949576.0,ns,1274
Build Voronoi Cells,voronoice,100,,,94463682.0,ns,1287
Build Voronoi Cells,voronoice,100,,,95610929.0,ns,1300
