group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Build Voronoi Cells,voronoice,1000,,,1504033.0,ns,2
Build Voronoi Cells,voronoice,1000,,,2234084.0,ns,4
Build Voronoi Cells,voronoice,1000,,,3313803.0,ns,6
Build Voronoi Cells,voronoice,1000,,,4433538.0,ns,8
Build Voronoi Cells,voronoice,1000,,,5568417.0,ns,10
Build Voronoi Cells,voronoice,1000,,,6633296.0,ns,12
Build Voronoi Cells,voronoice,1000,,,7773135.0,ns,14
Build Voronoi Cells,voronoice,1000,,,8837580.0,ns,16
Build Voronoi Cells,voronoice,1000,,,9983500.0,ns,18
Build Voronoi Cells,voronoice,1000,,,11010139.0,ns,20
Build Voronoi Cells,voronoice,1000,,,12236600.0,ns,22
Build Voronoi Cells,voronoice,1000,,,13337295.0,ns,24
Build Voronoi Cells,voronoice,1000,,,14459495.0,ns,26
Build Voronoi Cells,voronoice,1000,,,15590452.0,ns,28
Build Voronoi Cells,voronoice,1000,,,16648099.0,ns,30
Build Voronoi Cells,voronoice,1000,,,17808604.0,ns,32
Build Voronoi Cells,voronoice,1000,,,18907673.0,ns,34
Build Voronoi Cells,voronoice,1000,,,20043242.0,ns,36
Build Voronoi Cells,voronoice,1000,,,21157993.0,ns,38
Build Voronoi Cells,voronoice,1000,,,22255273.0,ns,40
Build Voronoi Cells,voronoice,1000,,,23320567.0,ns,42
Build Voronoi Cells,voronoice,1000,,,24454741.0,ns,44
Build Voronoi Cells,voronoice,1000,,,25613369.0,ns,46
Build Voronoi Cells,voronoice,1000,,,26662335.0,ns,48
Build Voronoi Cells,voronoice,1000,,,27766425.0,ns,50
Build Voronoi Cells,voronoice,1000,,,29026159.0,ns,52
Build Voronoi Cells,voronoice,1000,,,29984491.0,ns,54
Build Voronoi Cells,voronoice,1000,,,31144097.0,ns,56
Build Voronoi Cells,voronoice,1000,,,32268645.0,ns,58
Build Voronoi Cells,voronoice,1000,,,33348082.0,ns,60
Build Voronoi Cells,voronoice,1000,,,34480325.0,ns,62
Build Voronoi Cells,voronoice,1000,,,35741204.0,ns,64
Build Voronoi Cells,voronoice,1000,,,36767350.0,ns,66
Build Voronoi Cells,voronoice,1000,,,37943508.0,ns,68
Build Voronoi Cells,voronoice,1000,,,39025559.0,ns,70
Build Voronoi Cells,voronoice,1000,,,40041596.0,ns,72
Build Voronoi Cells,voronoice,1000,,,41228824.0,ns,74
Build Voronoi Cells,voronoice,1000,,,42274566.0,ns,76
Build Voronoi Cells,voronoice,1000,,,43391669.0,ns,78
Build Voronoi Cells,voronoice,1000,,,44586154.0,ns,80
Build Voronoi Cells,voronoice,1000,,,45599320.0,ns,82
Build Voronoi Cells,voronoice,1000,,,46909045.0,ns,84
Build Voronoi Cells,voronoice,1000,,,47957241.0,ns,86
Build Voronoi Cells,voronoice,1000,,,49113611.0,ns,88
Build Voronoi Cells,voronoice,1000,,,50139315.0,ns,90
Build Voronoi Cells,voronoice,1000,,,51159351.0,ns,92
Build Voronoi Cells,voronoice,1000,,,52548234.0,ns,94
Build Voronoi Cells,voronoice,1000,,,53431727.0,ns,96
Build Voronoi Cells,voronoice,1000,,,54561744.0,ns,98
Build Voronoi Cells,voronoice,1000,,,55765890.0,ns,100
Build Voronoi Cells,voronoice,1000,,,56884633.0,ns,102
Build Voronoi Cells,voronoice,1000,,,58536768.0,ns,104
Build Voronoi Cells,voronoice,1000,,,58989247.0,ns,106
Build Voronoi Cells,voronoice,1000,,,60122659.0,ns,108
Build Voronoi Cells,voronoice,1000,,,61315320.0,ns,110
Build Voronoi Cells,voronoice,1000,,,62303813.0,ns,112
Build Voronoi Cells,voronoice,1000,,,63382989.0,ns,114
Build Voronoi Cells,voronoice,1000,,,64590121.0,ns,116
Build Voronoi Cells,voronoice,1000,,,65700375.0,ns,118
Build Voronoi Cells,voronoice,1000,,,66638499.0,ns,120
Build Voronoi Cells,voronoice,1000,,,67887949.0,ns,122
Build Voronoi Cells,voronoice,1000,,,68990145.0,ns,124
Build Voronoi Cells,voronoice,1000,,,70213858.0,ns,126
Build Voronoi Cells,voronoice,1000,,,71237132.0,ns,128
Build Voronoi Cells,voronoice,1000,,,72370104.0,ns,130
Build Voronoi Cells,voronoice,1000,,,73425012.0,ns,132
Build Voronoi Cells,voronoice,1000,,,74613584.0,ns,134
Build Voronoi Cells,voronoice,1000,,,75808951.0,ns,136
Build Voronoi Cells,voronoice,1000,,,76838453.0,ns,138
Build Voronoi Cells,voronoice,1000,,,77996912.0,ns,140
Build Voronoi Cells,voronoice,1000,,,78954605.0,ns,142
