group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Build Voronoi Cells,voronoice,100,,,948683.0,ns,16
Build Voronoi Cells,voronoice,100,,,1815702.0,ns,32
Build Voronoi Cells,voronoice,100,,,2694607.0,ns,48
Build Voronoi Cells,voronoice,100,,,3657074.0,ns,64
Build Voronoi Cells,voronoice,100,,,4587467.0,ns,80
Build Voronoi Cells,voronoice,100,,,5550315.0,ns,96
Build Voronoi Cells,voronoice,100,,,6626192.0,ns,112
Build Voronoi Cells,voronoice,100,,,7398398.0,ns,128
Build Voronoi Cells,voronoice,100,,,8350509.0,ns,144
Build Voronoi Cells,voronoice,100,,,9286037.0,ns,160
Build Voronoi Cells,voronoice,100,,,10157918.0,ns,176
Build Voronoi Cells,voronoice,100,,,11109778.0,ns,192
Build Voronoi Cells,voronoice,100,,,12125474.0,ns,208
Build Voronoi Cells,voronoice,100,,,12995196.0,ns,224
Build Voronoi Cells,voronoice,100,,,13949245.0,ns,240
Build Voronoi Cells,voronoice,100,,,14872925.0,ns,256
Build Voronoi Cells,voronoice,100,,,15774539.0,ns,272
Build Voronoi Cells,voronoice,100,,,16688089.0,ns,288
Build Voronoi Cells,voronoice,100,,,17588647.0,ns,304
Build Voronoi Cells,voronoice,100,,,18518438.0,ns,320
Build Voronoi Cells,voronoice,100,,,19463863.0,ns,336
Build Voronoi Cells,voronoice,100,,,20379072.0,ns,352
Build Voronoi Cells,voronoice,100,,,21254142.0,ns,368
Build Voronoi Cells,voronoice,100,,,22260837.0,ns,384
Build Voronoi Cells,voronoice,100,,,23094582.0,ns,400
Build Voronoi Cells,voronoice,100,,,24047465.0,ns,416
Build Voronoi Cells,voronoice,100,,,24943341.0,ns,432
Build Voronoi Cells,voronoice,100,,,25856490.0,ns,448
Build Voronoi Cells,voronoice,100,,,26837098.0,ns,464
Build Voronoi Cells,voronoice,100,,,27725809.0,ns,480
Build Voronoi Cells,voronoice,100,,,28696815.0,ns,496
Build Voronoi Cells,voronoice,100,,,29598903.0,ns,512
Build Voronoi Cells,voronoice,100,,,30559684.0,ns,528
Build Voronoi Cells,voronoice,100,,,31430059.0,ns,544
Build Voronoi Cells,voronoice,100,,,32344551.0,ns,560
Build Voronoi Cells,voronoice,100,,,33241413.0,ns,576
Build Voronoi Cells,voronoice,100,,,34214469.0,ns,592
Build Voronoi Cells,voronoice,100,,,35108572.0,ns,608
Build Voronoi Cells,voronoice,100,,,36064136.0,ns,624
