group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Build Voronoi Cells,voronator,10000,,,56257140.0,ns,5
Build Voronoi Cells,voronator,10000,,,52492597.0,ns,5
Build Voronoi Cells,voronator,10000,,,53064915.0,ns,5
Build Voronoi Cells,voronator,10000,,,55607308.0,ns,5
Build Voronoi Cells,voronator,10000,,,57783175.0,ns,5
Build Voronoi Cells,voronator,10000,,,57227601.0,ns,5
Build Voronoi Cells,voronator,10000,,,55497323.0,ns,5
Build Voronoi Cells,voronator,10000,,,56384164.0,ns,5
Build Voronoi Cells,voronator,10000,,,53779111.0,ns,5
Build Voronoi Cells,voronator,10000,,,53367493.0,ns,5
Build Voronoi Cells,voronator,10000,,,53542764.0,ns,5
Build Voronoi Cells,voronator,10000,,,52043634.0,ns,5
Build Voronoi Cells,voronator,10000,,,53621515.0,ns,5
Build Voronoi Cells,voronator,10000,,,53097731.0,ns,5
Build Voronoi Cells,voronator,10000,,,56980132.0,ns,5
Build Voronoi Cells,voronator,10000,,,53794300.0,ns,5
Build Voronoi Cells,voronator,10000,,,51981365.0,ns,5
Build Voronoi Cells,voronator,10000,,,53642468.0,ns,5
Build Voronoi Cells,voronator,10000,,,53325826.0,ns,5
Build Voronoi Cells,voronator,10000,,,52012253.0,ns,5
Build Voronoi Cells,voronator,10000,,,54535776.0,ns,5
Build Voronoi Cells,voronator,10000,,,52300376.0,ns,5
Build Voronoi Cells,voronator,10000,,,52765661.0,ns,5
Build Voronoi Cells,voronator,10000,,,52920372.0,ns,5
Build Voronoi Cells,voronator,10000,,,52249629.0,ns,5
Build Voronoi Cells,voronator,10000,,,53204726.0,ns,5
Build Voronoi Cells,voronator,10000,,,56087384.0,ns,5
Build Voronoi Cells,voronator,10000,,,53146410.0,ns,5
Build Voronoi Cells,voronator,10000,,,58394325.0,ns,5
Build Voronoi Cells,voronator,10000,,,54736498.0,ns,5
Build Voronoi Cells,voronator,10000,,,52940204.0,ns,5
Build Voronoi Cells,voronator,10000,,,52355373.0,ns,5
Build Voronoi Cells,voronator,10000,,,52372205.0,ns,5
Build Voronoi Cells,voronator,10000,,,53445165.0,ns,5
Build Voronoi Cells,voronator,10000,,,55979766.0,ns,5
Build Voronoi Cells,voronator,10000,,,56020616.0,ns,5
Build Voronoi Cells,voronator,10000,,,53281423.0,ns,5
Build Voronoi Cells,voronator,10000,,,52339268.0,ns,5
Build Voronoi Cells,voronator,10000,,,54197288.0,ns,5
Build Voronoi Cells,voronator,10000,,,52602326.0,ns,5
Build Voronoi Cells,voronator,10000,,,51734964.0,ns,5
Build Voronoi Cells,voronator,10000,,,50804223.0,ns,5
Build Voronoi Cells,voronator,10000,,,50822778.0,ns,5
Build Voronoi Cells,voronator,10000,,,50818596.0,ns,5
Build Voronoi Cells,voronator,10000,,,52751317.0,ns,5
Build Voronoi Cells,voronator,10000,,,50758015.0,ns,5
Build Voronoi Cells,voronator,10000,,,53598442.0,ns,5
Build Voronoi Cells,voronator,10000,,,52313000.0,ns,5
Build Voronoi Cells,voronator,10000,,,50922037.0,ns,5
Build Voronoi Cells,voronator,10000,,,50909230.0,ns,5
Build Voronoi Cells,voronator,10000,,,50574323.0,ns,5
Build Voronoi Cells,voronator,10000,,,50719649.0,ns,5
Build Voronoi Cells,voronator,10000,,,50732062.0,ns,5
Build Voronoi Cells,voronator,10000,,,52645921.0,ns,5
Build Voronoi Cells,voronator,10000,,,52112056.0,ns,5
Build Voronoi Cells,voronator,10000,,,51286741.0,ns,5
Build Voronoi Cells,voronator,10000,,,51146067.0,ns,5
Build Voronoi Cells,voronator,10000,,,51107388.0,ns,5
Build Voronoi Cells,voronator,10000,,,51497219.0,ns,5
Build Voronoi Cells,voronator,10000,,,50982134.0,ns,5
Build Voronoi Cells,voronator,10000,,,51005516.0,ns,5
Build Voronoi Cells,voronator,10000,,,51787608.0,ns,5
Build Voronoi Cells,voronator,10000,,,51264471.0,ns,5
Build Voronoi Cells,voronator,10000,,,50929337.0,ns,5
Build Voronoi Cells,voronator,10000,,,50906891.0,ns,5
Build Voronoi Cells,voronator,10000,,,54182192.0,ns,5
Build Voronoi Cells,voronator,10000,,,52468199.0,ns,5
Build Voronoi Cells,voronator,10000,,,52822525.0,ns,5
Build Voronoi Cells,voronator,10000,,,54031822.0,ns,5
Build Voronoi Cells,voronator,10000,,,52691823.0,ns,5
Build Voronoi Cells,voronator,10000,,,53500011.0,ns,5
Build Voronoi Cells,voronator,10000,,,52973204.0,ns,5
Build Voronoi Cells,voronator,10000,,,52363982.0,ns,5
Build Voronoi Cells,voronator,10000,,,56380230.0,ns,5
