group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Build Voronoi Cells,voronator,1000000,,,1154392924.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1159306718.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1163617912.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1167380646.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1173485641.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1170951267.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1162966274.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1162478114.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1160280083.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1173623877.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1158148206.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1155900975.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1172073771.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1178156920.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1158720979.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1160297200.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1158060523.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1163361790.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1174884053.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1164537932.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1172885744.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1158361844.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1158954687.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1165131436.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1162800136.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1160994248.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1163760990.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1169867312.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1167352341.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1162123683.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1163325834.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1164346740.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1168179600.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1163416955.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1174563463.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1201340610.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1160450338.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1168460967.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1162929065.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1171655135.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1160839101.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1167355026.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1164327402.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1184845008.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1176847171.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1167644922.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1169450410.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1168032398.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1167037597.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1160123775.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1164791182.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1188089665.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1175119396.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1164565271.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1162631035.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1163877752.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1164693969.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1166328575.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1193925645.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1178887280.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1171516824.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1163419880.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1167908645.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1169979033.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1173113410.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1172279393.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1191450153.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1170879015.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1166820209.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1167245702.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1164382609.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1180336840.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1169623319.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1168823346.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1178815437.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1169169763.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1171230161.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1181877019.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1179610726.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1171699350.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1168488077.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1188289278.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1166407162.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1167959396.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1167715647.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1162474726.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1174486566.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1168058580.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1167270905.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1178610351.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1169693806.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1165738333.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1171120374.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1164556924.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1163853955.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1164376774.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1168630568.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1162292005.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1170274405.0,ns,1
Build Voronoi Cells,voronator,1000000,,,1168287863.0,ns,1
