group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Build Voronoi Cells,voronoi,500000,,,2396329852.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2472809063.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2426249028.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2383457735.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2444432699.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2427993330.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2382207699.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2453876680.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2409622676.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2413729571.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2470972790.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2369898620.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2413313345.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2442633938.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2374069918.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2406196907.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2414587158.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2436671412.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2449090664.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2426435157.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2392571202.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2411490085.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2406057892.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2482902865.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2369673922.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2389710032.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2398123671.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2405860343.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2441063137.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2384543963.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2380280473.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2377375956.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2374745790.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2373423692.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2400259005.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2512564439.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2379132610.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2384258099.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2539946445.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2549500780.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2451853901.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2411231042.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2462469516.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2475260691.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2521383320.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2408683385.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2412676598.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2395467644.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2385899476.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2390065994.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2394051971.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2492079107.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2451481270.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2397248089.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2396445155.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2396969819.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2397611878.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2398829162.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2457884398.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2401863831.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2422261459.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2429995953.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2416747713.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2402240384.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2412865829.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2408133881.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2415429511.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2430842669.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2452961832.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2451763016.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2433959739.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2422344122.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2417773748.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2418764468.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2436757453.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2460319129.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2428141802.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2427885018.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2455418124.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2428456452.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2396696458.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2388372404.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2404921052.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2465252852.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2476321049.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2411035016.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2492447819.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2487862369.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2406138727.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2488133466.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2512132359.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2462478726.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2411973916.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2526794186.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2466975146.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2458575735.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2482535510.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2487160620.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2424936058.0,ns,1
Build Voronoi Cells,voronoi,500000,,,2413006301.0,ns,1
