group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Build Voronoi Cells,voronoice,10000,,,44307800.0,ns,5
Build Voronoi Cells,voronoice,10000,,,44788763.0,ns,5
Build Voronoi Cells,voronoice,10000,,,43963139.0,ns,5
Build Voronoi Cells,voronoice,10000,,,43618206.0,ns,5
Build Voronoi Cells,voronoice,10000,,,43959830.0,ns,5
Build Voronoi Cells,voronoice,10000,,,43853077.0,ns,5
Build Voronoi Cells,voronoice,10000,,,44275672.0,ns,5
Build Voronoi Cells,voronoice,10000,,,45867893.0,ns,5
Build Voronoi Cells,voronoice,10000,,,44951801.0,ns,5
Build Voronoi Cells,voronoice,10000,,,45850040.0,ns,5
Build Voronoi Cells,voronoice,10000,,,43653388.0,ns,5
Build Voronoi Cells,voronoice,10000,,,45358514.0,ns,5
Build Voronoi Cells,voronoice,10000,,,45935697.0,ns,5
Build Voronoi Cells,voronoice,10000,,,44677411.0,ns,5
Build Voronoi Cells,voronoice,10000,,,43963583.0,ns,5
Build Voronoi Cells,voronoice,10000,,,44745545.0,ns,5
Build Voronoi Cells,voronoice,10000,,,44166925.0,ns,5
Build Voronoi Cells,voronoice,10000,,,44149136.0,ns,5
Build Voronoi Cells,voronoice,10000,,,44380959.0,ns,5
Build Voronoi Cells,voronoice,10000,,,44713105.0,ns,5
Build Voronoi Cells,voronoice,10000,,,45642477.0,ns,5
Build Voronoi Cells,voronoice,10000,,,46186510.0,ns,5
Build Voronoi Cells,voronoice,10000,,,44174012.0,ns,5
Build Voronoi Cells,voronoice,10000,,,44954754.0,ns,5
Build Voronoi Cells,voronoice,10000,,,43853709.0,ns,5
Build Voronoi Cells,voronoice,10000,,,44550348.0,ns,5
Build Voronoi Cells,voronoice,10000,,,44037529.0,ns,5
Build Voronoi Cells,voronoice,10000,,,44384126.0,ns,5
Build Voronoi Cells,voronoice,10000,,,44023147.0,ns,5
Build Voronoi Cells,voronoice,10000,,,45384511.0,ns,5
Build Voronoi Cells,voronoice,10000,,,44593798.0,ns,5
Build Voronoi Cells,voronoice,10000,,,43855454.0,ns,5
Build Voronoi Cells,voronoice,10000,,,44615670.0,ns,5
